event_type,event_payload
game_started,"{""gameId"": 1}"
player_joins_game,"{""gameId"": 1, ""playerId"": 10}"
player_joins_game,"{""gameId"": 1, ""playerId"": 12}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 2}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 6}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 1}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 5}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 10, ""roll"": 3}"
player_rolls_dice,"{""gameId"": 1, ""playerId"": 12, ""roll"": 5}"
game_started,"{""gameId"": 2}"
player_joins_game,"{""gameId"": 2, ""playerId"": 1}"
player_joins_game,"{""gameId"": 2, ""playerId"": 14}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 14, ""roll"": 4}"
player_rolls_dice,"{""gameId"": 2, ""playerId"": 1, ""roll"": 1}"
